Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
landed,YUL,A63,AGP,2024-03-10T20:10:00+00:00,2024-03-10T21:25:00+00:00,75.0,Air Transat,TS252
landed,YUL,A67,AMS,2024-03-10T20:05:00+00:00,2024-03-10T20:35:00+00:00,31.0,KLM,KL672
landed,YUL,,ATL,2024-03-10T19:25:00+00:00,2024-03-10T19:48:00+00:00,24.0,Air Canada,AC569
active,YUL,C87,ATL,2024-03-10T18:25:00+00:00,2024-03-10T19:48:00+00:00,84.0,Air Canada,AC8569
landed,YUL,C86,ATL,2024-03-10T13:36:00+00:00,2024-03-10T14:00:00+00:00,25.0,Delta Air Lines,DL1317
landed,YUL,C86,ATL,2024-03-10T07:00:00+00:00,2024-03-10T07:53:00+00:00,54.0,Delta Air Lines,DL1526
landed,YUL,C86,ATL,2024-03-10T18:45:00+00:00,2024-03-10T19:19:00+00:00,34.0,Delta Air Lines,DL2176
active,YUL,,AZS,2024-03-10T11:00:00+00:00,,130.0,empty,
active,YUL,A61,AZS,2024-03-10T16:00:00+00:00,,47.0,Air Transat,TS974
landed,YUL,A58,BCN,2024-03-10T19:00:00+00:00,2024-03-10T19:33:00+00:00,33.0,Air Canada,AC822
landed,YUL,A57,BGI,2024-03-10T09:40:00+00:00,2024-03-10T10:19:00+00:00,40.0,Air Canada,AC962
landed,YUL,,BOS,2024-03-10T17:30:00+00:00,2024-03-10T17:40:00+00:00,10.0,NetJets Aviation,1I246
landed,YUL,,BOS,2024-03-10T14:10:00+00:00,2024-03-10T13:29:00+00:00,,Air Canada,AC606
landed,YUL,C86,BOS,2024-03-10T08:15:00+00:00,2024-03-10T09:37:00+00:00,83.0,Air Canada,AC748
landed,YUL,C77,BOS,2024-03-10T16:45:00+00:00,2024-03-10T17:14:00+00:00,30.0,Air Canada,AC752
active,YUL,C81,BOS,2024-03-10T13:10:00+00:00,,20.0,Air Canada,AC8606
scheduled,YUL,,BOS,2024-03-10T14:10:00+00:00,,,Jazz,QK606
landed,YUL,A56,BRU,2024-03-10T19:50:00+00:00,2024-03-10T21:07:00+00:00,78.0,Air Canada,AC832
landed,YUL,,BUF,2024-03-10T18:54:00+00:00,2024-03-10T18:09:00+00:00,,Flexjet,LXJ459
active,YUL,A59,CCC,2024-03-10T15:50:00+00:00,2024-03-10T16:01:00+00:00,11.0,Air Canada Rouge,RV1750
scheduled,YUL,A67,CCC,2024-03-10T16:20:00+00:00,2024-03-10T17:27:00+00:00,68.0,Air Transat,TS856
scheduled,YUL,A65,CCC,2024-03-10T06:50:00+00:00,2024-03-10T08:04:00+00:00,75.0,Sunwing,WG604
scheduled,YUL,A55,CDG,2024-03-10T22:25:00+00:00,2024-03-10T23:39:00+00:00,74.0,Air Canada,AC870
landed,YUL,A59,CDG,2024-03-10T19:10:00+00:00,2024-03-10T19:42:00+00:00,32.0,Air Canada,AC874
landed,YUL,A63,CDG,2024-03-10T18:00:00+00:00,2024-03-10T18:41:00+00:00,41.0,Air France,AF345
landed,YUL,A55,CDG,2024-03-10T20:05:00+00:00,2024-03-10T21:05:00+00:00,61.0,Air France,AF347
landed,YUL,A68,CDG,2024-03-10T20:20:00+00:00,2024-03-10T21:30:00+00:00,71.0,Air Transat,TS110
cancelled,YUL,,CLT,2024-03-10T17:30:00+00:00,,,NetJets Aviation,1I
landed,YUL,C79,CLT,2024-03-10T14:20:00+00:00,2024-03-10T14:52:00+00:00,33.0,American Airlines,AA5029
landed,YUL,C79,CLT,2024-03-10T07:15:00+00:00,2024-03-10T08:18:00+00:00,64.0,American Airlines,AA5037
landed,YUL,A64,CMN,2024-03-10T19:45:00+00:00,2024-03-10T20:25:00+00:00,41.0,Air Canada,AC72
scheduled,YUL,,CMN,2024-03-10T21:35:00+00:00,2024-03-10T23:04:00+00:00,90.0,Royal Air Maroc,AT209
scheduled,YUL,,CUN,2024-03-10T18:30:00+00:00,,95.0,empty,
scheduled,YUL,A52,CUN,2024-03-10T17:15:00+00:00,,10.0,Air Canada,AC1884
scheduled,YUL,A55,CUN,2024-03-10T08:10:00+00:00,2024-03-10T12:13:00+00:00,243.0,Air Canada,AC926
scheduled,YUL,A58,CUN,2024-03-10T13:00:00+00:00,2024-03-10T15:01:00+00:00,122.0,Flair Airlines,F82100
landed,YUL,A52,CUN,2024-03-10T17:15:00+00:00,2024-03-10T17:49:00+00:00,34.0,Air Canada Rouge,RV1884
landed,YUL,,CUN,2024-03-10T18:30:00+00:00,2024-03-10T20:39:00+00:00,129.0,Air Canada Rouge,RV2004
landed,YUL,A68,CUN,2024-03-10T07:20:00+00:00,2024-03-10T08:34:00+00:00,75.0,Air Transat,TS538
landed,YUL,A68,CUN,2024-03-10T14:25:00+00:00,2024-03-10T14:55:00+00:00,30.0,Air Transat,TS938
scheduled,YUL,A56,CUN,2024-03-10T06:00:00+00:00,2024-03-10T07:50:00+00:00,111.0,Sunwing,WG2743
landed,YUL,A67,CUN,2024-03-10T09:30:00+00:00,2024-03-10T10:27:00+00:00,58.0,Sunwing,WG537
scheduled,YUL,A65,CUR,2024-03-10T09:15:00+00:00,2024-03-10T10:52:00+00:00,97.0,Air Canada Rouge,RV1844
landed,YUL,,DCA,2024-03-10T09:30:00+00:00,2024-03-10T09:56:00+00:00,27.0,Air Canada,AC821
landed,YUL,,DCA,2024-03-10T14:45:00+00:00,2024-03-10T15:39:00+00:00,54.0,Air Canada,AC823
active,YUL,C74,DCA,2024-03-10T08:30:00+00:00,,87.0,Air Canada,AC8821
scheduled,YUL,C85,DCA,2024-03-10T13:45:00+00:00,2024-03-10T15:39:00+00:00,114.0,Air Canada,AC8823
scheduled,YUL,C73,DCA,2024-03-10T19:50:00+00:00,2024-03-10T21:22:00+00:00,92.0,Air Canada,AC8827
landed,YUL,A51,DEL,2024-03-10T20:45:00+00:00,2024-03-10T21:28:00+00:00,44.0,Air Canada,AC50
landed,YUL,C77,DEN,2024-03-10T08:05:00+00:00,2024-03-10T09:32:00+00:00,88.0,Air Canada,AC1073
