Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
landed,YUL,A66,AGP,2024-02-04T20:10:00+00:00,2024-02-04T20:32:00+00:00,22,Air Transat,TS252
landed,YUL,A59,AMS,2024-02-04T19:05:00+00:00,2024-02-04T19:20:00+00:00,15,KLM,KL672
landed,YUL,C87,ATL,2024-02-04T18:25:00+00:00,2024-02-04T18:47:00+00:00,23,Air Canada,AC8569
landed,YUL,C84,ATL,2024-02-04T07:00:00+00:00,2024-02-04T07:26:00+00:00,26,Delta Air Lines,DL1345
landed,YUL,C84,ATL,2024-02-04T15:16:00+00:00,2024-02-04T15:28:00+00:00,13,Delta Air Lines,DL697
active,YUL,A67,AZS,2024-02-04T15:00:00+00:00,2024-02-04T15:26:00+00:00,26,Air Transat,TS2974
landed,YUL,A64,BCN,2024-02-04T18:20:00+00:00,2024-02-04T18:58:00+00:00,38,Air Canada,AC822
active,YUL,,BED,2024-02-04T15:00:00+00:00,2024-02-04T15:51:00+00:00,51,AirNet,USC422
landed,YUL,A52,BGI,2024-02-04T09:40:00+00:00,2024-02-04T10:07:00+00:00,27,Air Canada,AC962
landed,YUL,C74,BOS,2024-02-04T08:15:00+00:00,2024-02-04T08:56:00+00:00,42,Air Canada,AC8604
landed,YUL,C73,BOS,2024-02-04T13:10:00+00:00,2024-02-04T13:22:00+00:00,12,Air Canada,AC8606
landed,YUL,C74,BOS,2024-02-04T16:45:00+00:00,2024-02-04T16:57:00+00:00,13,Air Canada,AC8608
landed,YUL,A52,BRU,2024-02-04T18:50:00+00:00,2024-02-04T19:11:00+00:00,22,Air Canada,AC832
landed,YUL,A64,CCC,2024-02-04T15:50:00+00:00,2024-02-04T16:10:00+00:00,21,Air Canada Rouge,RV1750
scheduled,YUL,A66,CCC,2024-02-04T16:20:00+00:00,2024-02-04T17:23:00+00:00,63,Air Transat,TS856
active,YUL,A59,CCC,2024-02-04T06:50:00+00:00,2024-02-04T07:35:00+00:00,45,Sunwing,WG604
landed,YUL,A55,CDG,2024-02-04T21:25:00+00:00,2024-02-04T21:52:00+00:00,27,Air Canada,AC870
landed,YUL,57,CDG,2024-02-04T17:00:00+00:00,2024-02-04T17:08:00+00:00,9,Air France,AF345
landed,YUL,55,CDG,2024-02-04T19:05:00+00:00,2024-02-04T19:38:00+00:00,34,Air France,AF347
landed,YUL,A67,CDG,2024-02-04T20:20:00+00:00,2024-02-04T20:36:00+00:00,16,Air Transat,TS110
landed,YUL,C81,CLT,2024-02-04T14:15:00+00:00,2024-02-04T14:29:00+00:00,15,American Airlines,AA5029
landed,YUL,C83,CLT,2024-02-04T07:16:00+00:00,2024-02-04T07:51:00+00:00,36,American Airlines,AA5037
scheduled,YUL,C86,CLT,2024-02-04T09:00:00+00:00,2024-02-04T11:46:00+00:00,167,American Airlines,AA9976
landed,YUL,A61,CMN,2024-02-04T18:45:00+00:00,2024-02-04T19:25:00+00:00,41,Air Canada,AC72
landed,YUL,A64,CMN,2024-02-04T09:05:00+00:00,2024-02-04T09:29:00+00:00,25,Royal Air Maroc,AT207
landed,YUL,A56,CMN,2024-02-04T20:35:00+00:00,2024-02-04T21:06:00+00:00,32,Royal Air Maroc,AT209
landed,YUL,A65,CUN,2024-02-04T08:10:00+00:00,2024-02-04T08:48:00+00:00,39,Air Canada,AC926
landed,YUL,A61,CUN,2024-02-04T13:30:00+00:00,2024-02-04T14:20:00+00:00,50,Flair Airlines,F82100
landed,YUL,A63,CUN,2024-02-04T17:15:00+00:00,2024-02-04T17:46:00+00:00,32,Air Canada Rouge,RV1884
landed,YUL,A66,CUN,2024-02-04T07:20:00+00:00,2024-02-04T08:09:00+00:00,49,Air Transat,TS538
landed,YUL,A66,CUN,2024-02-04T14:05:00+00:00,2024-02-04T14:25:00+00:00,21,Air Transat,TS938
landed,YUL,A57,CUN,2024-02-04T06:00:00+00:00,2024-02-04T06:42:00+00:00,43,Sunwing,WG2743
landed,YUL,A57,CUN,2024-02-04T09:30:00+00:00,2024-02-04T10:05:00+00:00,36,Sunwing,WG537
landed,YUL,A61,CUR,2024-02-04T09:15:00+00:00,2024-02-04T09:36:00+00:00,21,Air Canada Rouge,RV1844
landed,YUL,C85,DCA,2024-02-04T08:30:00+00:00,2024-02-04T08:55:00+00:00,25,Air Canada,AC8821
landed,YUL,C84,DCA,2024-02-04T13:45:00+00:00,2024-02-04T13:52:00+00:00,8,Air Canada,AC8823
landed,YUL,C85,DCA,2024-02-04T19:50:00+00:00,2024-02-04T20:13:00+00:00,24,Air Canada,AC8825
landed,YUL,A64,DEL,2024-02-04T20:30:00+00:00,2024-02-04T22:35:00+00:00,126,Air Canada,AC50
landed,YUL,C77,DEN,2024-02-04T08:05:00+00:00,2024-02-04T08:46:00+00:00,42,Air Canada,AC1073
landed,YUL,C73,DFW,2024-02-04T18:40:00+00:00,2024-02-04T18:50:00+00:00,11,Air Canada,AC8813
active,YUL,A61,DOH,2024-02-04T20:50:00+00:00,2024-02-04T21:31:00+00:00,42,Qatar Airways,QR764
scheduled,YUL,C82,DTW,2024-02-04T13:05:00+00:00,2024-02-04T14:53:00+00:00,109,Air Canada,AC8581
active,YUL,C86,DTW,2024-02-04T13:05:00+00:00,,30,Delta Air Lines,DL4150
landed,YUL,C85,DTW,2024-02-04T06:00:00+00:00,2024-02-04T06:27:00+00:00,28,Delta Air Lines,DL4869
landed,YUL,A63,DXB,2024-02-04T09:20:00+00:00,2024-02-04T09:34:00+00:00,14,Emirates,EK244
