Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
landed,YUL,C84,DTW,2024-03-31T17:10:00+00:00,2024-03-31T18:08:00+00:00,58.0,Delta Air Lines,DL4906
landed,YUL,C84,DTW,2024-03-31T07:10:00+00:00,2024-03-31T07:30:00+00:00,20.0,Delta Air Lines,DL4933
landed,YUL,C84,DTW,2024-03-31T13:06:00+00:00,2024-03-31T13:13:00+00:00,7.0,Delta Air Lines,DL5139
landed,YUL,A63,DXB,2024-03-31T10:20:00+00:00,2024-03-31T10:14:00+00:00,,Emirates,EK244
scheduled,YUL,,EWR,2024-03-31T20:01:00+00:00,,50.0,empty,
active,YUL,C88,EWR,2024-03-31T08:15:00+00:00,,98.0,Air Canada,AC8938
landed,YUL,C85,EWR,2024-03-31T13:10:00+00:00,2024-03-31T13:25:00+00:00,16.0,Air Canada,AC8940
landed,YUL,C87,EWR,2024-03-31T15:10:00+00:00,2024-03-31T16:27:00+00:00,77.0,Air Canada,AC8942
active,YUL,C82,EWR,2024-03-31T20:00:00+00:00,,47.0,Air Canada,AC8946
scheduled,YUL,,EWR,2024-03-31T08:15:00+00:00,2024-03-31T09:52:00+00:00,21.0,Air Canada,AC938
landed,YUL,,EWR,2024-03-31T20:01:00+00:00,2024-03-31T20:46:00+00:00,46.0,Air Canada,AC946
scheduled,YUL,,EWR,2024-03-31T08:15:00+00:00,,21.0,Jazz,QK938
scheduled,YUL,,EWR,2024-03-31T20:01:00+00:00,,20.0,Jazz,QK946
landed,YUL,C80,EWR,2024-03-31T06:00:00+00:00,2024-03-31T06:10:00+00:00,11.0,United Airlines,UA3456
landed,YUL,C80,EWR,2024-03-31T18:30:00+00:00,2024-03-31T18:42:00+00:00,12.0,United Airlines,UA3626
landed,YUL,C80,EWR,2024-03-31T11:30:00+00:00,2024-03-31T11:39:00+00:00,9.0,United Airlines,UA3680
scheduled,YUL,A55,FCO,2024-03-31T19:30:00+00:00,2024-03-31T21:45:00+00:00,136.0,Air Canada,AC892
landed,YUL,C73,FLL,2024-03-31T08:55:00+00:00,2024-03-31T09:09:00+00:00,15.0,Air Canada,AC1002
landed,YUL,C56,FLL,2024-03-31T14:10:00+00:00,2024-03-31T14:14:00+00:00,5.0,Air Canada,AC1004
scheduled,YUL,C79,FLL,2024-03-31T15:50:00+00:00,2024-03-31T17:40:00+00:00,111.0,Flair Airlines,F81100
landed,YUL,C76,FLL,2024-03-31T07:45:00+00:00,2024-03-31T08:02:00+00:00,17.0,Air Canada Rouge,RV1600
landed,YUL,C75,FLL,2024-03-31T16:20:00+00:00,2024-03-31T16:40:00+00:00,21.0,Air Canada Rouge,RV1606
landed,YUL,C74,FLL,2024-03-31T06:30:00+00:00,2024-03-31T07:08:00+00:00,39.0,Air Transat,TS844
landed,YUL,C83,FLL,2024-03-31T16:25:00+00:00,2024-03-31T16:47:00+00:00,22.0,Air Transat,TS846
landed,YUL,A58,FRA,2024-03-31T18:45:00+00:00,2024-03-31T18:58:00+00:00,14.0,Air Canada,AC844
scheduled,YUL,A59,FRA,2024-03-31T18:00:00+00:00,2024-03-31T18:31:00+00:00,32.0,Lufthansa,LH479
landed,YUL,A58,GRU,2024-03-31T21:30:00+00:00,2024-03-31T21:44:00+00:00,14.0,Air Canada,AC96
landed,YUL,A57,GVA,2024-03-31T20:20:00+00:00,2024-03-31T20:27:00+00:00,7.0,Air Canada,AC884
active,YUL,A66,HOG,2024-03-31T07:10:00+00:00,2024-03-31T08:00:00+00:00,51.0,Air Transat,TS2356
active,YUL,A68,HOG,2024-03-31T16:45:00+00:00,2024-03-31T17:12:00+00:00,28.0,Sunwing,WG644
landed,YUL,C85,IAD,2024-03-31T18:35:00+00:00,2024-03-31T19:01:00+00:00,27.0,Air Canada,AC8725
landed,YUL,C80,IAD,2024-03-31T13:57:00+00:00,2024-03-31T14:09:00+00:00,13.0,United Airlines,UA3414
landed,YUL,C80,IAD,2024-03-31T09:30:00+00:00,2024-03-31T09:43:00+00:00,13.0,United Airlines,UA3590
landed,YUL,C79,IAH,2024-03-31T09:50:00+00:00,2024-03-31T10:08:00+00:00,19.0,Air Canada,AC581
landed,YUL,A65,IST,2024-03-31T19:45:00+00:00,2024-03-31T19:55:00+00:00,11.0,Turkish Airlines,TK36
scheduled,YUL,C73,JFK,2024-03-31T19:30:00+00:00,,21.0,Air Canada,AC8898
landed,YUL,,JFK,2024-03-31T19:30:00+00:00,2024-03-31T19:50:00+00:00,21.0,Air Canada,AC898
landed,YUL,C87,JFK,2024-03-31T18:35:00+00:00,2024-03-31T18:48:00+00:00,13.0,Delta Air Lines,DL5151
landed,YUL,C86,JFK,2024-03-31T12:05:00+00:00,2024-03-31T12:13:00+00:00,8.0,Delta Air Lines,DL5425
