Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
active,YUL,A60,ALG,2024-02-28T15:10:00+00:00,,206.0,Air Algerie,AH2701
landed,YUL,A57,AMS,2024-02-28T19:05:00+00:00,2024-02-28T19:56:00+00:00,51.0,KLM,KL672
landed,YUL,C76,ATL,2024-02-28T18:25:00+00:00,2024-02-28T19:12:00+00:00,47.0,Air Canada,AC8569
landed,YUL,C86,ATL,2024-02-28T07:00:00+00:00,2024-02-28T07:03:00+00:00,3.0,Delta Air Lines,DL1345
landed,YUL,C84,ATL,2024-02-28T18:40:00+00:00,2024-02-28T19:30:00+00:00,51.0,Delta Air Lines,DL639
landed,YUL,C86,ATL,2024-02-28T13:44:00+00:00,2024-02-28T13:55:00+00:00,12.0,Delta Air Lines,DL697
active,YUL,A66,AZS,2024-02-28T15:00:00+00:00,2024-02-28T15:18:00+00:00,19.0,Air Transat,TS974
landed,YUL,A58,BCN,2024-02-28T18:20:00+00:00,2024-02-28T18:57:00+00:00,38.0,Air Canada,AC822
landed,YUL,A51,BGI,2024-02-28T09:40:00+00:00,2024-02-28T10:00:00+00:00,21.0,Air Canada,AC962
scheduled,YUL,C74,BOS,2024-02-28T08:15:00+00:00,2024-02-28T10:22:00+00:00,127.0,Air Canada,AC8604
landed,YUL,C83,BOS,2024-02-28T13:10:00+00:00,2024-02-28T13:29:00+00:00,19.0,Air Canada,AC8606
scheduled,YUL,C73,BOS,2024-02-28T16:45:00+00:00,2024-02-28T18:53:00+00:00,128.0,Air Canada,AC8608
landed,YUL,A64,BRU,2024-02-28T18:50:00+00:00,2024-02-28T19:23:00+00:00,34.0,Air Canada,AC832
active,YUL,A58,CCC,2024-02-28T15:50:00+00:00,2024-02-28T16:12:00+00:00,22.0,Air Canada Rouge,RV1750
active,YUL,A66,CCC,2024-02-28T17:20:00+00:00,2024-02-28T17:51:00+00:00,32.0,Sunwing,WG2348
landed,YUL,A66,CDG,2024-02-28T21:25:00+00:00,2024-02-28T22:18:00+00:00,53.0,Air Canada,AC870
landed,YUL,A60,CDG,2024-02-28T18:10:00+00:00,2024-02-28T18:44:00+00:00,35.0,Air Canada,AC874
landed,YUL,A63,CDG,2024-02-28T17:00:00+00:00,2024-02-28T17:39:00+00:00,40.0,Air France,AF345
landed,YUL,55,CDG,2024-02-28T19:05:00+00:00,2024-02-28T19:37:00+00:00,33.0,Air France,AF347
landed,YUL,A56,CDG,2024-02-28T20:20:00+00:00,2024-02-28T21:08:00+00:00,48.0,Air Transat,TS110
landed,YUL,C81,CLT,2024-02-28T14:15:00+00:00,2024-02-28T14:22:00+00:00,7.0,American Airlines,AA5029
landed,YUL,C79,CLT,2024-02-28T07:15:00+00:00,2024-02-28T07:28:00+00:00,13.0,American Airlines,AA5037
scheduled,YUL,A63,CMN,2024-02-28T20:35:00+00:00,2024-02-28T21:51:00+00:00,76.0,Royal Air Maroc,AT209
landed,YUL,A60,CTG,2024-02-28T09:50:00+00:00,2024-02-28T10:06:00+00:00,17.0,Air Transat,TS190
landed,YUL,A60,CUN,2024-02-28T08:10:00+00:00,2024-02-28T08:27:00+00:00,17.0,Air Canada,AC926
landed,YUL,A65,CUN,2024-02-28T13:30:00+00:00,2024-02-28T14:06:00+00:00,36.0,Flair Airlines,F82100
landed,YUL,A68,CUN,2024-02-28T17:15:00+00:00,2024-02-28T17:28:00+00:00,13.0,Air Canada Rouge,RV1884
landed,YUL,A66,CUN,2024-02-28T07:20:00+00:00,2024-02-28T07:48:00+00:00,29.0,Air Transat,TS538
landed,YUL,A66,CUN,2024-02-28T09:30:00+00:00,2024-02-28T09:47:00+00:00,17.0,Sunwing,WG5317
landed,YUL,A59,CUN,2024-02-28T07:00:00+00:00,2024-02-28T07:23:00+00:00,24.0,Sunwing,WG5363
landed,YUL,A55,CYO,2024-02-28T07:00:00+00:00,2024-02-28T07:16:00+00:00,16.0,Sunwing,WG6314
landed,YUL,C79,DCA,2024-02-28T08:30:00+00:00,2024-02-28T08:40:00+00:00,11.0,Air Canada,AC8821
landed,YUL,C76,DCA,2024-02-28T13:45:00+00:00,2024-02-28T14:12:00+00:00,27.0,Air Canada,AC8823
cancelled,YUL,C84,DCA,2024-02-28T19:50:00+00:00,,21.0,Air Canada,AC8825
active,YUL,,DCA,2024-02-28T19:50:00+00:00,,,Jazz,QK825
landed,YUL,A51,DEL,2024-02-28T20:30:00+00:00,2024-02-28T22:20:00+00:00,110.0,Air Canada,AC50
landed,YUL,C82,DEN,2024-02-28T08:05:00+00:00,2024-02-28T08:59:00+00:00,55.0,Air Canada,AC1073
landed,YUL,C81,DFW,2024-02-28T18:40:00+00:00,2024-02-28T19:16:00+00:00,36.0,Air Canada,AC8813
landed,YUL,A55,DOH,2024-02-28T20:50:00+00:00,2024-02-28T22:12:00+00:00,82.0,Qatar Airways,QR764
landed,YUL,C82,DTW,2024-02-28T13:05:00+00:00,2024-02-28T13:19:00+00:00,14.0,Air Canada,AC8581
landed,YUL,C84,DTW,2024-02-28T06:00:00+00:00,2024-02-28T06:14:00+00:00,15.0,Delta Air Lines,DL4869
landed,YUL,C87,DTW,2024-02-28T13:05:00+00:00,2024-02-28T13:15:00+00:00,11.0,Delta Air Lines,DL4870
landed,YUL,C86,DTW,2024-02-28T17:50:00+00:00,2024-02-28T19:21:00+00:00,91.0,Delta Air Lines,DL5367
