Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
scheduled,YUL,A63,ALG,2024-04-12T16:10:00+00:00,2024-04-12T17:57:00+00:00,107,Air Algerie,AH2701
landed,YUL,A61,AMM,2024-04-12T13:55:00+00:00,2024-04-12T14:09:00+00:00,15,Royal Jordanian,RJ272
landed,YUL,A51,AMS,2024-04-12T22:15:00+00:00,2024-04-12T22:49:00+00:00,34,Air Canada,AC900
landed,YUL,A55,AMS,2024-04-12T18:45:00+00:00,2024-04-12T19:59:00+00:00,74,KLM,KL672
landed,YUL,A58,ANU,2024-04-12T09:15:00+00:00,2024-04-12T09:12:00+00:00,10,Air Canada Rouge,RV1894
landed,YUL,C86,ATL,2024-04-12T18:30:00+00:00,2024-04-12T20:00:00+00:00,91,Air Canada,AC8569
scheduled,YUL,C84,ATL,2024-04-12T18:45:00+00:00,2024-04-12T20:58:00+00:00,133,Delta Air Lines,DL2176
landed,YUL,C84,ATL,2024-04-12T07:00:00+00:00,2024-04-12T07:08:00+00:00,8,Delta Air Lines,DL2185
landed,YUL,C86,ATL,2024-04-12T13:44:00+00:00,2024-04-12T14:00:00+00:00,16,Delta Air Lines,DL2752
active,YUL,A59,AZS,2024-04-12T15:00:00+00:00,2024-04-12T15:07:00+00:00,7,Air Transat,TS974
scheduled,YUL,,BDA,2024-04-12T09:30:00+00:00,,6,empty,
scheduled,YUL,,BDA,2024-04-12T09:30:00+00:00,2024-04-12T09:56:00+00:00,27,NetJets Aviation,1I
landed,YUL,A65,BOG,2024-04-12T23:25:00+00:00,2024-04-12T23:34:00+00:00,9,SA AVIANCA,AV201
landed,YUL,C85,BOS,2024-04-12T08:15:00+00:00,2024-04-12T08:38:00+00:00,23,Air Canada,AC748
landed,YUL,C56,BOS,2024-04-12T13:10:00+00:00,2024-04-12T13:35:00+00:00,26,Air Canada,AC750
scheduled,YUL,C81,BOS,2024-04-12T16:45:00+00:00,,167,Air Canada,AC752
active,YUL,C73,BOS,2024-04-12T18:45:00+00:00,,135,Air Canada,AC8608
landed,YUL,A52,BRU,2024-04-12T17:10:00+00:00,2024-04-12T17:42:00+00:00,32,Air Canada,AC832
active,YUL,,BTV,2024-04-12T12:10:00+00:00,2024-04-12T12:14:00+00:00,4,Airsprint,
active,YUL,A58,CCC,2024-04-12T15:55:00+00:00,2024-04-12T16:15:00+00:00,20,Air Canada Rouge,RV1750
