Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
landed,YUL,C86,DTW,2024-03-18T17:10:00+00:00,2024-03-18T17:41:00+00:00,32.0,Delta Air Lines,DL4906
landed,YUL,C84,DTW,2024-03-18T07:10:00+00:00,2024-03-18T08:53:00+00:00,103.0,Delta Air Lines,DL4933
landed,YUL,C84,DTW,2024-03-18T13:06:00+00:00,2024-03-18T13:58:00+00:00,53.0,Delta Air Lines,DL5139
landed,YUL,A55,DXB,2024-03-18T10:20:00+00:00,2024-03-18T11:04:00+00:00,44.0,Emirates,EK244
scheduled,YUL,,EWR,2024-03-18T20:01:00+00:00,,,empty,
scheduled,YUL,C88,EWR,2024-03-18T08:15:00+00:00,,21.0,Air Canada,AC8938
landed,YUL,C81,EWR,2024-03-18T13:05:00+00:00,2024-03-18T13:16:00+00:00,12.0,Air Canada,AC8940
active,YUL,C82,EWR,2024-03-18T15:05:00+00:00,2024-03-18T15:16:00+00:00,11.0,Air Canada,AC8942
active,YUL,C89,EWR,2024-03-18T20:00:00+00:00,,24.0,Air Canada,AC8946
landed,YUL,,EWR,2024-03-18T08:15:00+00:00,2024-03-18T08:43:00+00:00,29.0,Air Canada,AC938
landed,YUL,,EWR,2024-03-18T15:05:00+00:00,2024-03-18T15:16:00+00:00,11.0,Air Canada,AC942
landed,YUL,,EWR,2024-03-18T20:00:00+00:00,2024-03-18T20:24:00+00:00,24.0,Air Canada,AC946
scheduled,YUL,,EWR,2024-03-18T08:15:00+00:00,,21.0,Jazz,QK938
scheduled,YUL,,EWR,2024-03-18T15:05:00+00:00,,21.0,Jazz,QK942
scheduled,YUL,,EWR,2024-03-18T20:01:00+00:00,,20.0,Jazz,QK946
landed,YUL,C80,EWR,2024-03-18T07:00:00+00:00,2024-03-18T07:10:00+00:00,11.0,United Airlines,UA3456
landed,YUL,C80,EWR,2024-03-18T11:08:00+00:00,2024-03-18T11:15:00+00:00,8.0,United Airlines,UA3680
landed,YUL,A57,FDF,2024-03-18T09:00:00+00:00,2024-03-18T09:33:00+00:00,33.0,Air Canada,AC954
landed,YUL,C73,FLL,2024-03-18T08:55:00+00:00,2024-03-18T09:38:00+00:00,44.0,Air Canada,AC1002
landed,YUL,C56,FLL,2024-03-18T14:10:00+00:00,2024-03-18T14:15:00+00:00,6.0,Air Canada,AC1004
landed,YUL,C77,FLL,2024-03-18T15:50:00+00:00,2024-03-18T16:41:00+00:00,52.0,Flair Airlines,F81100
active,YUL,C79,FLL,2024-03-18T10:39:00+00:00,2024-03-18T11:00:00+00:00,21.0,Flair Airlines,F89962
scheduled,YUL,C75,FLL,2024-03-18T07:40:00+00:00,2024-03-18T10:01:00+00:00,142.0,Air Canada Rouge,RV1600
landed,YUL,C75,FLL,2024-03-18T16:20:00+00:00,2024-03-18T16:31:00+00:00,11.0,Air Canada Rouge,RV1606
landed,YUL,C79,FLL,2024-03-18T06:30:00+00:00,2024-03-18T06:55:00+00:00,26.0,Air Transat,TS2844
landed,YUL,C85,FLL,2024-03-18T16:25:00+00:00,2024-03-18T16:43:00+00:00,18.0,Air Transat,TS846
landed,YUL,A58,FRA,2024-03-18T19:05:00+00:00,2024-03-18T19:44:00+00:00,40.0,Air Canada,AC844
scheduled,YUL,A68,HOG,2024-03-18T15:10:00+00:00,2024-03-18T15:31:00+00:00,21.0,Air Transat,TS358
scheduled,YUL,A59,HOG,2024-03-18T07:00:00+00:00,2024-03-18T07:50:00+00:00,51.0,Sunwing,WG6146
landed,YUL,C75,IAD,2024-03-18T13:05:00+00:00,2024-03-18T13:26:00+00:00,22.0,Air Canada,AC8723
landed,YUL,C80,IAD,2024-03-18T09:15:00+00:00,2024-03-18T09:26:00+00:00,11.0,United Airlines,UA3413
landed,YUL,C80,IAD,2024-03-18T18:30:00+00:00,2024-03-18T18:57:00+00:00,28.0,United Airlines,UA3574
scheduled,YUL,C76,IAH,2024-03-18T09:50:00+00:00,2024-03-18T11:37:00+00:00,107.0,Air Canada,AC581
landed,YUL,,ILM,2024-03-18T08:00:00+00:00,2024-03-18T07:53:00+00:00,10.0,Flightpath Charter Airways,
scheduled,YUL,,ISP,2024-03-18T20:00:00+00:00,,6.0,NetJets Aviation,1I
scheduled,YUL,,JFK,2024-03-18T18:55:00+00:00,,,empty,
active,YUL,C77,JFK,2024-03-18T18:55:00+00:00,,20.0,Air Canada,AC8898
landed,YUL,,JFK,2024-03-18T18:55:00+00:00,2024-03-18T19:15:00+00:00,20.0,Air Canada,AC898
landed,YUL,C88,JFK,2024-03-18T18:35:00+00:00,2024-03-18T19:47:00+00:00,73.0,Delta Air Lines,DL5151
landed,YUL,C84,JFK,2024-03-18T12:05:00+00:00,2024-03-18T12:18:00+00:00,13.0,Delta Air Lines,DL5425
scheduled,YUL,,JFK,2024-03-18T18:55:00+00:00,,21.0,Jazz,QK898
landed,YUL,C75,LAS,2024-03-18T19:35:00+00:00,2024-03-18T20:05:00+00:00,30.0,Air Canada,AC1274
scheduled,YUL,,LAS,2024-03-18T09:15:00+00:00,,,Delta Air Lines,DL612
landed,YUL,C77,LAS,2024-03-18T08:00:00+00:00,2024-03-18T08:29:00+00:00,30.0,Air Canada Rouge,RV1707
landed,YUL,C56,LAX,2024-03-18T17:35:00+00:00,2024-03-18T18:03:00+00:00,28.0,Air Canada,AC781
