Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
active,YUL,A68,AMM,2024-02-19T21:50:00+00:00,2024-02-19T21:57:00+00:00,7.0,Royal Jordanian,RJ272
scheduled,YUL,A57,AMS,2024-02-19T19:05:00+00:00,2024-02-19T21:07:00+00:00,122.0,KLM,KL672
landed,YUL,C88,ATL,2024-02-19T18:25:00+00:00,2024-02-19T18:49:00+00:00,25.0,Air Canada,AC8569
landed,YUL,C84,ATL,2024-02-19T07:00:00+00:00,2024-02-19T07:13:00+00:00,13.0,Delta Air Lines,DL1345
landed,YUL,C86,ATL,2024-02-19T18:40:00+00:00,2024-02-19T19:14:00+00:00,34.0,Delta Air Lines,DL639
landed,YUL,C84,ATL,2024-02-19T13:44:00+00:00,2024-02-19T13:51:00+00:00,7.0,Delta Air Lines,DL697
landed,YUL,A58,BCN,2024-02-19T18:20:00+00:00,2024-02-19T19:01:00+00:00,41.0,Air Canada,AC822
landed,YUL,A52,BGI,2024-02-19T09:40:00+00:00,2024-02-19T10:31:00+00:00,52.0,Air Canada,AC962
landed,YUL,,BNA,2024-02-19T13:30:00+00:00,2024-02-19T13:39:00+00:00,9.0,JetRight,
landed,YUL,C85,BOS,2024-02-19T08:15:00+00:00,2024-02-19T08:56:00+00:00,42.0,Air Canada,AC8604
landed,YUL,C75,BOS,2024-02-19T13:10:00+00:00,2024-02-19T13:37:00+00:00,27.0,Air Canada,AC8606
landed,YUL,C73,BOS,2024-02-19T16:45:00+00:00,2024-02-19T17:20:00+00:00,35.0,Air Canada,AC8608
landed,YUL,A64,BRU,2024-02-19T18:50:00+00:00,2024-02-19T19:18:00+00:00,29.0,Air Canada,AC832
landed,YUL,,BWI,2024-02-19T08:30:00+00:00,2024-02-19T08:15:00+00:00,,Chrono Aviation,MB321
active,YUL,A66,CCC,2024-02-19T17:00:00+00:00,2024-02-19T17:33:00+00:00,33.0,Air Transat,TS856
scheduled,YUL,A57,CCC,2024-02-19T06:00:00+00:00,2024-02-19T06:36:00+00:00,37.0,Sunwing,WG6106
landed,YUL,A63,CDG,2024-02-19T21:25:00+00:00,2024-02-19T21:32:00+00:00,7.0,Air Canada,AC870
landed,YUL,A60,CDG,2024-02-19T18:10:00+00:00,2024-02-19T18:43:00+00:00,34.0,Air Canada,AC874
cancelled,YUL,A61,CDG,2024-02-19T17:00:00+00:00,,,Air France,AF345
landed,YUL,55,CDG,2024-02-19T19:05:00+00:00,2024-02-19T19:45:00+00:00,40.0,Air France,AF347
landed,YUL,,CDG,2024-02-19T20:45:00+00:00,2024-02-19T21:15:00+00:00,30.0,Air France,AF4083
landed,YUL,A66,CDG,2024-02-19T20:20:00+00:00,2024-02-19T20:48:00+00:00,29.0,Air Transat,TS110
landed,YUL,C81,CLT,2024-02-19T14:15:00+00:00,2024-02-19T14:29:00+00:00,15.0,American Airlines,AA5029
landed,YUL,C85,CLT,2024-02-19T07:15:00+00:00,2024-02-19T07:38:00+00:00,23.0,American Airlines,AA5037
landed,YUL,A60,CMN,2024-02-19T20:35:00+00:00,2024-02-19T22:02:00+00:00,88.0,Royal Air Maroc,AT209
landed,YUL,A63,CTG,2024-02-19T09:50:00+00:00,2024-02-19T10:27:00+00:00,37.0,Air Transat,TS198
landed,YUL,A52,CUN,2024-02-19T08:10:00+00:00,2024-02-19T08:40:00+00:00,31.0,Air Canada,AC926
landed,YUL,,CUN,2024-02-19T13:30:00+00:00,2024-02-19T14:44:00+00:00,75.0,Flair Airlines,F82100
landed,YUL,A63,CUN,2024-02-19T17:15:00+00:00,2024-02-19T18:45:00+00:00,91.0,Air Canada Rouge,RV1884
landed,YUL,A64,CUN,2024-02-19T07:20:00+00:00,2024-02-19T07:51:00+00:00,32.0,Air Transat,TS2538
landed,YUL,A66,CUN,2024-02-19T14:25:00+00:00,2024-02-19T14:58:00+00:00,34.0,Air Transat,TS938
landed,YUL,A61,CUN,2024-02-19T11:30:00+00:00,2024-02-19T11:52:00+00:00,22.0,Sunwing,WG5163
landed,YUL,A68,CUN,2024-02-19T16:00:00+00:00,2024-02-19T17:07:00+00:00,68.0,Sunwing,WG517
scheduled,YUL,A67,CZM,2024-02-19T09:30:00+00:00,2024-02-19T10:21:00+00:00,51.0,Air Canada Rouge,RV1748
landed,YUL,,DCA,2024-02-19T19:50:00+00:00,2024-02-19T20:01:00+00:00,11.0,Air Canada,AC825
landed,YUL,C87,DCA,2024-02-19T08:30:00+00:00,2024-02-19T08:59:00+00:00,29.0,Air Canada,AC8821
landed,YUL,C86,DCA,2024-02-19T13:45:00+00:00,2024-02-19T14:24:00+00:00,39.0,Air Canada,AC8823
scheduled,YUL,C88,DCA,2024-02-19T19:50:00+00:00,,21.0,Air Canada,AC8825
scheduled,YUL,,DCA,2024-02-19T19:50:00+00:00,,21.0,Jazz,QK825
landed,YUL,A56,DEL,2024-02-19T20:30:00+00:00,2024-02-19T20:57:00+00:00,28.0,Air Canada,AC50
landed,YUL,C77,DEN,2024-02-19T08:05:00+00:00,2024-02-19T08:19:00+00:00,15.0,Air Canada,AC1073
landed,YUL,C81,DFW,2024-02-19T15:50:00+00:00,2024-02-19T16:35:00+00:00,46.0,American Airlines,AA1964
landed,YUL,C76,DFW,2024-02-19T18:40:00+00:00,2024-02-19T19:10:00+00:00,30.0,Air Canada,AC8813
landed,YUL,A55,DOH,2024-02-19T20:50:00+00:00,2024-02-19T21:17:00+00:00,27.0,Qatar Airways,QR764
scheduled,YUL,C89,DTW,2024-02-19T13:05:00+00:00,2024-02-19T14:48:00+00:00,103.0,Air Canada,AC8581
