Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
landed,YUL,A56,LHR,2024-02-08T20:55:00+00:00,2024-02-08T21:10:00+00:00,16.0,British Airways,BA94
landed,YUL,A59,LIR,2024-02-08T08:50:00+00:00,2024-02-08T08:57:00+00:00,8.0,Air Canada,AC1331
landed,YUL,A52,LIR,2024-02-08T11:00:00+00:00,2024-02-08T11:04:00+00:00,4.0,Air Transat,TS600
landed,YUL,C82,MCO,2024-02-08T09:20:00+00:00,2024-02-08T09:58:00+00:00,39.0,Air Canada Rouge,RV1634
landed,YUL,C75,MCO,2024-02-08T13:30:00+00:00,2024-02-08T13:44:00+00:00,15.0,Air Canada Rouge,RV1636
landed,YUL,C84,MCO,2024-02-08T18:40:00+00:00,2024-02-08T19:00:00+00:00,21.0,Air Canada Rouge,RV1638
landed,YUL,C56,MCO,2024-02-08T06:45:00+00:00,2024-02-08T07:02:00+00:00,17.0,Air Transat,TS820
landed,YUL,C82,MCO,2024-02-08T08:10:00+00:00,2024-02-08T08:27:00+00:00,18.0,Lynx Air,Y9661
landed,YUL,A59,MEX,2024-02-08T18:55:00+00:00,2024-02-08T19:25:00+00:00,31.0,Air Canada,AC995
landed,YUL,A67,MEX,2024-02-08T23:10:00+00:00,2024-02-08T23:26:00+00:00,17.0,Aeromexico,AM637
landed,YUL,A67,MEX,2024-02-08T09:03:00+00:00,2024-02-08T09:16:00+00:00,13.0,Aeromexico,AM681
landed,YUL,C81,MIA,2024-02-08T07:00:00+00:00,2024-02-08T07:06:00+00:00,6.0,American Airlines,AA1516
landed,YUL,C84,MIA,2024-02-08T08:30:00+00:00,2024-02-08T08:56:00+00:00,26.0,Air Canada,AC1206
landed,YUL,C75,MIA,2024-02-08T18:45:00+00:00,2024-02-08T19:28:00+00:00,43.0,Air Canada,AC1208
landed,YUL,A64,MRS,2024-02-08T20:05:00+00:00,2024-02-08T20:09:00+00:00,5.0,Air Transat,TS434
landed,YUL,C88,MSP,2024-02-08T17:30:00+00:00,2024-02-08T18:08:00+00:00,38.0,Air Canada,AC8851
landed,YUL,C88,MSP,2024-02-08T07:00:00+00:00,2024-02-08T07:09:00+00:00,9.0,Delta Air Lines,DL4807
landed,YUL,C75,MSY,2024-02-08T08:00:00+00:00,2024-02-08T09:08:00+00:00,69.0,Air Canada Rouge,RV1713
landed,YUL,A57,MUC,2024-02-08T20:15:00+00:00,2024-02-08T20:26:00+00:00,12.0,Lufthansa,LH475
landed,YUL,A51,MXP,2024-02-08T20:30:00+00:00,2024-02-08T21:38:00+00:00,68.0,Air Canada,AC894
landed,YUL,A50,NAS,2024-02-08T08:50:00+00:00,2024-02-08T09:24:00+00:00,34.0,Air Canada,AC938
landed,YUL,C86,ORD,2024-02-08T08:30:00+00:00,2024-02-08T08:59:00+00:00,29.0,Air Canada,AC8959
landed,YUL,C80,ORD,2024-02-08T13:05:00+00:00,2024-02-08T13:18:00+00:00,14.0,Air Canada,AC8961
active,YUL,C76,ORD,2024-02-08T19:45:00+00:00,,18.0,Air Canada,AC8967
landed,YUL,,ORD,2024-02-08T19:45:00+00:00,2024-02-08T20:03:00+00:00,18.0,Air Canada,AC967
scheduled,YUL,,ORD,2024-02-08T19:45:00+00:00,,21.0,Jazz,QK967
landed,YUL,C80,ORD,2024-02-08T16:45:00+00:00,2024-02-08T17:00:00+00:00,15.0,United Airlines,UA3629
landed,YUL,C82,ORD,2024-02-08T06:05:00+00:00,2024-02-08T06:14:00+00:00,10.0,United Airlines,UA3663
landed,YUL,C79,PHL,2024-02-08T12:55:00+00:00,2024-02-08T12:55:00+00:00,1.0,American Airlines,AA5783
landed,YUL,C79,PHL,2024-02-08T16:05:00+00:00,2024-02-08T16:04:00+00:00,,American Airlines,AA5796
landed,YUL,C82,PHL,2024-02-08T13:20:00+00:00,2024-02-08T13:28:00+00:00,9.0,Air Canada,AC8859
landed,YUL,A57,PLS,2024-02-08T08:15:00+00:00,2024-02-08T08:29:00+00:00,14.0,Air Canada,AC1332
landed,YUL,A58,POP,2024-02-08T08:20:00+00:00,2024-02-08T08:51:00+00:00,31.0,Air Transat,TS890
landed,YUL,A66,POP,2024-02-08T12:30:00+00:00,2024-02-08T12:42:00+00:00,13.0,Sunwing,WG414
landed,YUL,A64,PTP,2024-02-08T06:45:00+00:00,2024-02-08T07:00:00+00:00,16.0,Air Transat,TS894
landed,YUL,A55,PUJ,2024-02-08T08:15:00+00:00,2024-02-08T09:10:00+00:00,56.0,Air Canada,AC944
landed,YUL,A65,PUJ,2024-02-08T17:05:00+00:00,2024-02-08T17:59:00+00:00,55.0,Air Canada Rouge,RV1792
landed,YUL,A68,PUJ,2024-02-08T07:05:00+00:00,2024-02-08T07:24:00+00:00,20.0,Air Transat,TS398
landed,YUL,A61,PUJ,2024-02-08T14:30:00+00:00,2024-02-08T14:40:00+00:00,11.0,Air Transat,TS498
landed,YUL,A65,PUJ,2024-02-08T08:00:00+00:00,2024-02-08T08:12:00+00:00,12.0,Sunwing,WG4426
landed,YUL,A57,PUJ,2024-02-08T10:00:00+00:00,2024-02-08T10:17:00+00:00,17.0,Sunwing,WG4428
landed,YUL,A51,PVR,2024-02-08T09:30:00+00:00,2024-02-08T10:02:00+00:00,33.0,Air Canada,AC999
landed,YUL,A58,PVR,2024-02-08T10:30:00+00:00,2024-02-08T10:32:00+00:00,3.0,Air Transat,TS106
landed,YUL,C77,SFO,2024-02-08T18:15:00+00:00,2024-02-08T18:18:00+00:00,3.0,Air Canada,AC763
landed,YUL,A65,SJD,2024-02-08T10:00:00+00:00,2024-02-08T10:19:00+00:00,19.0,Sunwing,WG5477
landed,YUL,A60,SJO,2024-02-08T16:30:00+00:00,2024-02-08T16:45:00+00:00,15.0,Air Canada,AC959
active,YUL,A64,SNU,2024-02-08T17:20:00+00:00,2024-02-08T17:50:00+00:00,31.0,Sunwing,WG3408
landed,YUL,A67,SXM,2024-02-08T08:45:00+00:00,2024-02-08T09:14:00+00:00,30.0,Sunwing,WG764
active,YUL,,TEB,2024-02-08T15:30:00+00:00,,,Skyservice Business Aviation,
active,YUL,,TEB,2024-02-08T17:30:00+00:00,2024-02-08T17:49:00+00:00,19.0,Flexjet,LXJ582
active,YUL,,TEB,2024-02-08T19:24:00+00:00,2024-02-08T19:23:00+00:00,,Flexjet,LXJ659
landed,YUL,C75,TPA,2024-02-08T10:00:00+00:00,2024-02-08T11:16:00+00:00,77.0,Air Canada Rouge,RV1616
