Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
landed,YUL,A67,AGP,2024-03-24T20:10:00+00:00,2024-03-24T20:39:00+00:00,29.0,Air Transat,TS252
landed,YUL,A57,AMS,2024-03-24T20:05:00+00:00,2024-03-24T20:26:00+00:00,22.0,KLM,KL672
landed,YUL,C88,ATL,2024-03-24T18:25:00+00:00,2024-03-24T18:46:00+00:00,22.0,Air Canada,AC8569
landed,YUL,C86,ATL,2024-03-24T13:36:00+00:00,2024-03-24T13:50:00+00:00,15.0,Delta Air Lines,DL1317
landed,YUL,C84,ATL,2024-03-24T07:00:00+00:00,2024-03-24T07:31:00+00:00,32.0,Delta Air Lines,DL1526
landed,YUL,C86,ATL,2024-03-24T18:45:00+00:00,2024-03-24T19:19:00+00:00,35.0,Delta Air Lines,DL2176
active,YUL,A67,AZS,2024-03-24T15:00:00+00:00,2024-03-24T15:34:00+00:00,35.0,Air Transat,TS974
landed,YUL,A51,BCN,2024-03-24T19:00:00+00:00,2024-03-24T19:22:00+00:00,23.0,Air Canada,AC822
active,YUL,,BCT,2024-03-24T08:00:00+00:00,,,empty,
active,YUL,,BCT,2024-03-24T08:00:00+00:00,2024-03-24T07:51:00+00:00,,Flightpath Charter Airways,
scheduled,YUL,A59,BGI,2024-03-24T09:40:00+00:00,2024-03-24T10:42:00+00:00,62.0,Air Canada,AC962
landed,YUL,C76,BOS,2024-03-24T08:15:00+00:00,2024-03-24T09:00:00+00:00,46.0,Air Canada,AC748
landed,YUL,C74,BOS,2024-03-24T16:45:00+00:00,2024-03-24T16:55:00+00:00,11.0,Air Canada,AC752
landed,YUL,C77,BOS,2024-03-24T13:10:00+00:00,2024-03-24T13:22:00+00:00,13.0,Air Canada,AC8606
landed,YUL,A61,BRU,2024-03-24T19:50:00+00:00,2024-03-24T20:11:00+00:00,22.0,Air Canada,AC832
scheduled,YUL,A51,CCC,2024-03-24T15:50:00+00:00,,10.0,Air Canada,AC1750
active,YUL,A51,CCC,2024-03-24T15:50:00+00:00,2024-03-24T15:49:00+00:00,10.0,Air Canada Rouge,RV1750
active,YUL,A65,CCC,2024-03-24T16:20:00+00:00,2024-03-24T16:44:00+00:00,24.0,Air Transat,TS856
landed,YUL,A68,CCC,2024-03-24T06:50:00+00:00,2024-03-24T07:33:00+00:00,43.0,Sunwing,WG604
scheduled,YUL,A56,CDG,2024-03-24T22:25:00+00:00,2024-03-24T23:29:00+00:00,64.0,Air Canada,AC870
landed,YUL,A68,CDG,2024-03-24T19:10:00+00:00,2024-03-24T19:24:00+00:00,15.0,Air Canada,AC874
landed,YUL,57,CDG,2024-03-24T18:00:00+00:00,2024-03-24T18:36:00+00:00,36.0,Air France,AF345
landed,YUL,A55,CDG,2024-03-24T20:05:00+00:00,2024-03-24T20:22:00+00:00,18.0,Air France,AF347
landed,YUL,A66,CDG,2024-03-24T20:20:00+00:00,2024-03-24T20:44:00+00:00,25.0,Air Transat,TS110
landed,YUL,,CLT,2024-03-24T08:55:00+00:00,2024-03-24T08:57:00+00:00,3.0,Airsprint,
landed,YUL,C81,CLT,2024-03-24T14:20:00+00:00,2024-03-24T14:37:00+00:00,17.0,American Airlines,AA5029
landed,YUL,C81,CLT,2024-03-24T07:15:00+00:00,2024-03-24T07:50:00+00:00,35.0,American Airlines,AA5037
landed,YUL,A52,CMN,2024-03-24T19:45:00+00:00,2024-03-24T20:30:00+00:00,45.0,Air Canada,AC72
landed,YUL,A68,CMN,2024-03-24T21:35:00+00:00,2024-03-24T22:07:00+00:00,32.0,Royal Air Maroc,AT209
landed,YUL,,CUN,2024-03-24T10:30:00+00:00,2024-03-24T10:48:00+00:00,18.0,Air Canada,AC2026
landed,YUL,A52,CUN,2024-03-24T08:10:00+00:00,2024-03-24T08:42:00+00:00,33.0,Air Canada,AC926
scheduled,YUL,A59,CUN,2024-03-24T13:00:00+00:00,2024-03-24T15:20:00+00:00,140.0,Flair Airlines,F82100
landed,YUL,A66,CUN,2024-03-24T17:15:00+00:00,2024-03-24T17:47:00+00:00,33.0,Air Canada Rouge,RV1884
landed,YUL,A63,CUN,2024-03-24T07:20:00+00:00,2024-03-24T07:56:00+00:00,36.0,Air Transat,TS538
landed,YUL,A66,CUN,2024-03-24T14:25:00+00:00,2024-03-24T15:10:00+00:00,46.0,Air Transat,TS938
landed,YUL,A61,CUN,2024-03-24T09:30:00+00:00,2024-03-24T10:00:00+00:00,31.0,Sunwing,WG537
landed,YUL,A68,CUR,2024-03-24T09:15:00+00:00,2024-03-24T09:53:00+00:00,39.0,Air Canada Rouge,RV1844
