Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number
landed,YUL,C81,MIA,2024-04-02T07:00:00+00:00,2024-04-02T07:28:00+00:00,29.0,American Airlines,AA1516
landed,YUL,C81,MIA,2024-04-02T08:30:00+00:00,2024-04-02T09:02:00+00:00,33.0,Air Canada,AC1206
landed,YUL,C79,MIA,2024-04-02T18:45:00+00:00,2024-04-02T19:32:00+00:00,47.0,Air Canada,AC1208
scheduled,YUL,C88,MSP,2024-04-02T17:30:00+00:00,2024-04-02T19:19:00+00:00,110.0,Air Canada,AC8851
landed,YUL,C84,MSP,2024-04-02T06:00:00+00:00,2024-04-02T06:30:00+00:00,31.0,Delta Air Lines,DL3665
scheduled,YUL,C85,LGA,2024-03-26T20:00:00+00:00,,13.0,Air Canada,AC8646
landed,YUL,C88,LGA,2024-03-26T06:15:00+00:00,2024-03-26T06:20:00+00:00,6.0,Delta Air Lines,DL5426
landed,YUL,C86,LGA,2024-03-26T16:24:00+00:00,2024-03-26T16:36:00+00:00,12.0,Delta Air Lines,DL5431
landed,YUL,C86,LGA,2024-03-26T10:00:00+00:00,2024-03-26T10:08:00+00:00,9.0,Delta Air Lines,DL5434
scheduled,YUL,,LGA,2024-03-26T17:30:00+00:00,,21.0,Jazz,QK642
scheduled,YUL,,LGA,2024-03-26T18:40:00+00:00,,21.0,Jazz,QK644
scheduled,YUL,,LGA,2024-03-26T20:01:00+00:00,,20.0,Jazz,QK646
landed,YUL,A64,LGW,2024-03-26T21:05:00+00:00,2024-03-26T21:30:00+00:00,26.0,Air Transat,TS728
landed,YUL,A61,LHR,2024-03-26T20:20:00+00:00,2024-03-26T20:27:00+00:00,7.0,Air Canada,AC864
landed,YUL,A59,LHR,2024-03-26T21:45:00+00:00,2024-03-26T21:59:00+00:00,14.0,British Airways,BA94
landed,YUL,A56,LIR,2024-03-26T08:50:00+00:00,2024-03-26T09:00:00+00:00,11.0,Air Canada,AC1331
landed,YUL,A64,LIR,2024-03-26T11:00:00+00:00,2024-03-26T11:09:00+00:00,10.0,Air Transat,TS600
scheduled,YUL,A51,LIS,2024-03-26T22:30:00+00:00,2024-03-27T00:03:00+00:00,94.0,Air Canada,AC812
landed,YUL,A51,MBJ,2024-03-26T08:15:00+00:00,2024-03-26T08:37:00+00:00,23.0,Air Canada,AC922
unknown,YUL,,MCO,2024-03-26T08:10:00+00:00,,,Delta Air Lines,DL661
landed,YUL,C75,MCO,2024-03-26T09:10:00+00:00,2024-03-26T09:27:00+00:00,18.0,Air Canada Rouge,RV1634
landed,YUL,C75,MCO,2024-03-26T13:30:00+00:00,2024-03-26T13:42:00+00:00,13.0,Air Canada Rouge,RV1636
landed,YUL,C75,MCO,2024-03-26T18:40:00+00:00,2024-03-26T18:57:00+00:00,17.0,Air Canada Rouge,RV1638
landed,YUL,C79,MCO,2024-03-26T06:45:00+00:00,2024-03-26T06:53:00+00:00,8.0,Air Transat,TS2820
landed,YUL,A58,MEX,2024-03-26T18:55:00+00:00,2024-03-26T19:08:00+00:00,13.0,Air Canada,AC995
landed,YUL,A61,MEX,2024-03-26T23:10:00+00:00,2024-03-26T23:20:00+00:00,10.0,Aeromexico,AM637
landed,YUL,A60,MEX,2024-03-26T09:03:00+00:00,2024-03-26T09:29:00+00:00,27.0,Aeromexico,AM681
landed,YUL,C81,MIA,2024-03-26T07:00:00+00:00,2024-03-26T07:06:00+00:00,7.0,American Airlines,AA1516
landed,YUL,C85,MIA,2024-03-26T08:30:00+00:00,2024-03-26T09:43:00+00:00,74.0,Air Canada,AC1206
landed,YUL,C77,MIA,2024-03-26T18:45:00+00:00,2024-03-26T19:00:00+00:00,15.0,Air Canada,AC1208
landed,YUL,C82,MSP,2024-03-26T17:45:00+00:00,2024-03-26T18:29:00+00:00,44.0,Air Canada,AC8851
landed,YUL,C86,MSP,2024-03-26T06:00:00+00:00,2024-03-26T06:07:00+00:00,7.0,Delta Air Lines,DL4923
landed,YUL,A57,MUC,2024-03-26T21:15:00+00:00,2024-03-26T21:24:00+00:00,10.0,Lufthansa,LH475
landed,YUL,A66,NAS,2024-03-26T09:05:00+00:00,2024-03-26T09:12:00+00:00,7.0,Air Canada,AC938
landed,YUL,A52,NRT,2024-03-26T14:05:00+00:00,2024-03-26T14:06:00+00:00,1.0,Air Canada,AC5
landed,YUL,C79,ORD,2024-03-26T08:30:00+00:00,2024-03-26T08:44:00+00:00,14.0,Air Canada,AC8959
landed,YUL,C58,ORD,2024-03-26T13:05:00+00:00,2024-03-26T13:16:00+00:00,12.0,Air Canada,AC8961
landed,YUL,C76,ORD,2024-03-26T19:45:00+00:00,2024-03-26T20:10:00+00:00,25.0,Air Canada,AC8967
landed,YUL,C82,ORD,2024-03-26T06:05:00+00:00,2024-03-26T06:17:00+00:00,12.0,United Airlines,UA3597
landed,YUL,C82,ORD,2024-03-26T16:45:00+00:00,2024-03-26T16:54:00+00:00,9.0,United Airlines,UA3629
scheduled,YUL,,PHL,2024-03-26T07:30:00+00:00,,,Skyservice Business Aviation,
landed,YUL,C89,PHL,2024-03-26T07:30:00+00:00,2024-03-26T07:44:00+00:00,14.0,American Airlines,AA5779
landed,YUL,C81,PHL,2024-03-26T12:55:00+00:00,2024-03-26T12:55:00+00:00,1.0,American Airlines,AA5783
landed,YUL,C81,PHL,2024-03-26T16:00:00+00:00,2024-03-26T16:02:00+00:00,2.0,American Airlines,AA5796
scheduled,YUL,,PIE,2024-03-26T15:00:00+00:00,2024-03-26T15:50:00+00:00,50.0,empty,
landed,YUL,A64,POP,2024-03-26T08:20:00+00:00,2024-03-26T08:31:00+00:00,12.0,Air Transat,TS890
landed,YUL,A66,POP,2024-03-26T16:10:00+00:00,2024-03-26T16:38:00+00:00,29.0,Sunwing,WG4214
landed,YUL,A67,PTP,2024-03-26T07:55:00+00:00,2024-03-26T08:20:00+00:00,26.0,Air Transat,TS894
landed,YUL,61,PTY,2024-03-26T08:30:00+00:00,2024-03-26T08:36:00+00:00,6.0,Copa Airlines,CM484
landed,YUL,A57,PUJ,2024-03-26T08:15:00+00:00,2024-03-26T08:27:00+00:00,12.0,Air Canada,AC944
landed,YUL,A52,PUJ,2024-03-26T16:55:00+00:00,2024-03-26T16:57:00+00:00,2.0,Air Canada Rouge,RV1792
landed,YUL,A65,PUJ,2024-03-26T14:30:00+00:00,2024-03-26T14:49:00+00:00,20.0,Air Transat,TS2498
landed,YUL,A59,PUJ,2024-03-26T07:05:00+00:00,2024-03-26T07:14:00+00:00,9.0,Air Transat,TS398
landed,YUL,A65,PUJ,2024-03-26T08:00:00+00:00,2024-03-26T08:19:00+00:00,20.0,Sunwing,WG4228
landed,YUL,A67,PVR,2024-03-26T09:30:00+00:00,2024-03-26T09:34:00+00:00,4.0,Air Canada,AC999
active,YUL,A64,ALG,2024-03-08T15:10:00+00:00,2024-03-08T16:05:00+00:00,56.0,Air Algerie,AH2701
landed,YUL,A57,AMS,2024-03-08T19:05:00+00:00,2024-03-08T19:05:00+00:00,,KLM,KL672
landed,YUL,A68,ANU,2024-03-08T09:15:00+00:00,2024-03-08T09:21:00+00:00,7.0,Air Canada Rouge,RV1894
scheduled,YUL,C77,ATL,2024-03-08T18:25:00+00:00,2024-03-08T21:04:00+00:00,159.0,Air Canada,AC8569
landed,YUL,C86,ATL,2024-03-08T07:00:00+00:00,2024-03-08T08:00:00+00:00,60.0,Delta Air Lines,DL1345
landed,YUL,C84,ATL,2024-03-08T18:40:00+00:00,2024-03-08T18:56:00+00:00,17.0,Delta Air Lines,DL639
landed,YUL,C84,ATL,2024-03-08T13:44:00+00:00,2024-03-08T13:49:00+00:00,6.0,Delta Air Lines,DL697
active,YUL,A68,AZS,2024-03-08T15:00:00+00:00,2024-03-08T15:01:00+00:00,1.0,Air Transat,TS974
landed,YUL,A59,BCN,2024-03-08T18:00:00+00:00,2024-03-08T18:21:00+00:00,22.0,Air Canada,AC822
landed,YUL,A55,BGI,2024-03-08T09:40:00+00:00,2024-03-08T10:07:00+00:00,27.0,Air Canada,AC962
landed,YUL,,BOS,2024-03-08T13:10:00+00:00,2024-03-08T13:35:00+00:00,25.0,Air Canada,AC606
landed,YUL,C81,BOS,2024-03-08T08:15:00+00:00,2024-03-08T08:39:00+00:00,24.0,Air Canada,AC748
scheduled,YUL,C76,BOS,2024-03-08T13:10:00+00:00,,10.0,Air Canada,AC8606
landed,YUL,C76,BOS,2024-03-08T16:45:00+00:00,2024-03-08T16:46:00+00:00,2.0,Air Canada,AC8610
scheduled,YUL,,BOS,2024-03-08T13:10:00+00:00,,21.0,Jazz,QK606
landed,YUL,A52,BRU,2024-03-08T18:50:00+00:00,2024-03-08T19:09:00+00:00,19.0,Air Canada,AC832
landed,YUL,A61,CCC,2024-03-08T15:50:00+00:00,2024-03-08T15:56:00+00:00,6.0,Air Canada Rouge,RV1750
landed,YUL,A58,CCC,2024-03-08T06:00:00+00:00,2024-03-08T06:11:00+00:00,11.0,Sunwing,WG2548
landed,YUL,A57,CDG,2024-03-08T21:25:00+00:00,2024-03-08T21:29:00+00:00,4.0,Air Canada,AC870
landed,YUL,A64,CDG,2024-03-08T18:10:00+00:00,2024-03-08T18:37:00+00:00,27.0,Air Canada,AC874
landed,YUL,A63,CDG,2024-03-08T17:00:00+00:00,2024-03-08T17:04:00+00:00,5.0,Air France,AF345
landed,YUL,55,CDG,2024-03-08T19:05:00+00:00,2024-03-08T19:19:00+00:00,14.0,Air France,AF347
landed,YUL,A59,CDG,2024-03-08T20:20:00+00:00,2024-03-08T20:33:00+00:00,13.0,Air Transat,TS110
active,YUL,A62,CFG,2024-03-08T17:45:00+00:00,2024-03-08T18:19:00+00:00,35.0,Sunwing,WG228
landed,YUL,C81,CLT,2024-03-08T14:20:00+00:00,2024-03-08T15:07:00+00:00,48.0,American Airlines,AA5029
landed,YUL,C83,CLT,2024-03-08T07:15:00+00:00,2024-03-08T07:35:00+00:00,21.0,American Airlines,AA5037
scheduled,YUL,A63,CMN,2024-03-08T20:35:00+00:00,,,Royal Air Maroc,AT209
scheduled,YUL,A55,CMN,2024-03-08T20:35:00+00:00,2024-03-08T21:46:00+00:00,72.0,Privilege Style,P6209
landed,YUL,A55,CUN,2024-03-08T08:10:00+00:00,2024-03-08T08:11:00+00:00,2.0,Air Canada,AC926
landed,YUL,A57,CUN,2024-03-08T13:30:00+00:00,2024-03-08T13:33:00+00:00,4.0,Flair Airlines,F82100
landed,YUL,A61,CUN,2024-03-08T17:20:00+00:00,2024-03-08T17:26:00+00:00,6.0,Air Canada Rouge,RV1884
landed,YUL,A66,CUN,2024-03-08T07:20:00+00:00,2024-03-08T07:30:00+00:00,11.0,Air Transat,TS538
landed,YUL,A65,CUN,2024-03-08T14:25:00+00:00,2024-03-08T14:34:00+00:00,9.0,Air Transat,TS938
landed,YUL,A57,CUN,2024-03-08T10:30:00+00:00,2024-03-08T10:39:00+00:00,9.0,Sunwing,WG5357
landed,YUL,A56,CUN,2024-03-08T08:00:00+00:00,2024-03-08T08:06:00+00:00,6.0,Sunwing,WG563
active,YUL,A67,CYO,2024-03-08T15:55:00+00:00,2024-03-08T16:13:00+00:00,18.0,Sunwing,WG614
landed,YUL,A68,CZM,2024-03-08T07:25:00+00:00,2024-03-08T07:39:00+00:00,14.0,Air Transat,TS328
landed,YUL,,DCA,2024-03-08T19:50:00+00:00,2024-03-08T19:52:00+00:00,3.0,Air Canada,AC825
landed,YUL,C87,DCA,2024-03-08T08:30:00+00:00,2024-03-08T09:06:00+00:00,36.0,Air Canada,AC8821
landed,YUL,C74,DCA,2024-03-08T13:45:00+00:00,2024-03-08T13:44:00+00:00,21.0,Air Canada,AC8823
active,YUL,C79,DCA,2024-03-08T19:50:00+00:00,,2.0,Air Canada,AC8825
scheduled,YUL,,DCA,2024-03-08T19:50:00+00:00,,,Jazz,QK825
landed,YUL,A51,DEL,2024-03-08T20:05:00+00:00,2024-03-08T20:38:00+00:00,33.0,Air Canada,AC50
scheduled,YUL,C81,DFW,2024-03-08T15:50:00+00:00,2024-03-08T17:32:00+00:00,102.0,American Airlines,AA1964
landed,YUL,C79,DFW,2024-03-08T18:40:00+00:00,2024-03-08T18:55:00+00:00,15.0,Air Canada,AC1071
landed,YUL,A63,DOH,2024-03-08T20:50:00+00:00,2024-03-08T21:25:00+00:00,36.0,Qatar Airways,QR764
landed,YUL,C89,DTW,2024-03-08T13:05:00+00:00,2024-03-08T13:19:00+00:00,14.0,Air Canada,AC8581
landed,YUL,C87,DTW,2024-03-08T06:00:00+00:00,2024-03-08T06:09:00+00:00,10.0,Delta Air Lines,DL4869
landed,YUL,C87,DTW,2024-03-08T13:05:00+00:00,2024-03-08T13:08:00+00:00,4.0,Delta Air Lines,DL4870
landed,YUL,A65,AGP,2024-02-08T20:10:00+00:00,2024-02-08T20:34:00+00:00,24.0,Air Transat,TS252
active,YUL,A64,AMM,2024-02-08T21:50:00+00:00,2024-02-08T21:55:00+00:00,6.0,Royal Jordanian,RJ272
landed,YUL,C76,ATL,2024-02-08T18:25:00+00:00,2024-02-08T18:34:00+00:00,9.0,Air Canada,AC8569
landed,YUL,C86,ATL,2024-02-08T07:00:00+00:00,2024-02-08T07:23:00+00:00,23.0,Delta Air Lines,DL1345
landed,YUL,C84,ATL,2024-02-08T15:16:00+00:00,2024-02-08T15:19:00+00:00,4.0,Delta Air Lines,DL697
active,YUL,,BED,2024-02-08T17:45:00+00:00,2024-02-08T18:16:00+00:00,31.0,Air Canada,AC7080
landed,YUL,A60,BOG,2024-02-08T21:45:00+00:00,2024-02-08T22:53:00+00:00,69.0,Air Canada,AC98
landed,YUL,C77,BOS,2024-02-08T08:15:00+00:00,2024-02-08T08:58:00+00:00,43.0,Air Canada,AC8604
landed,YUL,C76,BOS,2024-02-08T13:10:00+00:00,2024-02-08T13:17:00+00:00,7.0,Air Canada,AC8606
landed,YUL,C76,BOS,2024-02-08T16:45:00+00:00,2024-02-08T16:51:00+00:00,6.0,Air Canada,AC8608
landed,YUL,A52,BRU,2024-02-08T18:50:00+00:00,2024-02-08T19:11:00+00:00,22.0,Air Canada,AC832
active,YUL,A66,CCC,2024-02-08T16:20:00+00:00,2024-02-08T16:57:00+00:00,37.0,Air Transat,TS856
active,YUL,A63,CCC,2024-02-08T06:00:00+00:00,2024-02-08T06:08:00+00:00,9.0,Sunwing,WG6404
landed,YUL,A63,CDG,2024-02-08T21:25:00+00:00,2024-02-08T21:42:00+00:00,17.0,Air Canada,AC870
landed,YUL,A57,CDG,2024-02-08T17:00:00+00:00,2024-02-08T17:03:00+00:00,4.0,Air France,AF345
landed,YUL,55,CDG,2024-02-08T19:05:00+00:00,2024-02-08T19:17:00+00:00,13.0,Air France,AF347
landed,YUL,A67,CDG,2024-02-08T20:20:00+00:00,2024-02-08T20:37:00+00:00,18.0,Air Transat,TS110
diverted,YUL,C88,CLT,2024-02-08T14:15:00+00:00,2024-02-08T14:23:00+00:00,9.0,American Airlines,AA5029
landed,YUL,C83,CLT,2024-02-08T07:16:00+00:00,2024-02-08T07:52:00+00:00,37.0,American Airlines,AA5037
diverted,YUL,A58,CMN,2024-02-08T18:45:00+00:00,2024-02-08T19:19:00+00:00,35.0,Air Canada,AC72
landed,YUL,A60,CMN,2024-02-08T20:35:00+00:00,2024-02-08T20:59:00+00:00,25.0,Royal Air Maroc,AT209
landed,YUL,A52,CUN,2024-02-08T08:10:00+00:00,2024-02-08T08:49:00+00:00,40.0,Air Canada,AC926
landed,YUL,A64,CUN,2024-02-08T13:30:00+00:00,2024-02-08T13:47:00+00:00,18.0,Flair Airlines,F82100
scheduled,YUL,A60,CUN,2024-02-08T17:15:00+00:00,2024-02-08T18:48:00+00:00,93.0,Air Canada Rouge,RV1884
landed,YUL,A60,CUN,2024-02-08T07:20:00+00:00,2024-02-08T07:48:00+00:00,28.0,Air Transat,TS538
landed,YUL,A68,CUN,2024-02-08T14:25:00+00:00,2024-02-08T14:44:00+00:00,20.0,Air Transat,TS938
landed,YUL,A59,CUN,2024-02-08T12:15:00+00:00,2024-02-08T12:24:00+00:00,10.0,Sunwing,WG243
active,YUL,A68,CUN,2024-02-08T09:30:00+00:00,,23.0,Sunwing,WG519
scheduled,YUL,A58,CUR,2024-02-08T09:15:00+00:00,2024-02-08T12:52:00+00:00,217.0,Air Canada Rouge,RV1844
landed,YUL,C83,DCA,2024-02-08T08:30:00+00:00,2024-02-08T08:45:00+00:00,16.0,Air Canada,AC8821
landed,YUL,C73,DCA,2024-02-08T13:45:00+00:00,2024-02-08T13:52:00+00:00,7.0,Air Canada,AC8823
landed,YUL,C81,DCA,2024-02-08T19:50:00+00:00,2024-02-08T19:55:00+00:00,5.0,Air Canada,AC8825
landed,YUL,C81,DEN,2024-02-08T08:05:00+00:00,2024-02-08T09:05:00+00:00,61.0,Air Canada,AC1073
landed,YUL,C73,DFW,2024-02-08T18:40:00+00:00,2024-02-08T19:04:00+00:00,25.0,Air Canada,AC8813
landed,YUL,A58,DOH,2024-02-08T20:50:00+00:00,2024-02-08T21:29:00+00:00,40.0,Qatar Airways,QR764
landed,YUL,C87,DTW,2024-02-08T13:05:00+00:00,2024-02-08T13:07:00+00:00,2.0,Air Canada,AC8581
landed,YUL,C84,DTW,2024-02-08T06:00:00+00:00,2024-02-08T06:11:00+00:00,12.0,Delta Air Lines,DL4869
landed,YUL,C84,DTW,2024-02-08T13:05:00+00:00,2024-02-08T13:10:00+00:00,6.0,Delta Air Lines,DL5067
landed,YUL,A63,DXB,2024-02-08T09:20:00+00:00,2024-02-08T09:34:00+00:00,15.0,Emirates,EK244
landed,YUL,C89,EWR,2024-02-08T08:15:00+00:00,2024-02-08T09:28:00+00:00,74.0,Air Canada,AC8938
landed,YUL,C74,EWR,2024-02-08T13:05:00+00:00,2024-02-08T13:05:00+00:00,21.0,Air Canada,AC8940
landed,YUL,C74,EWR,2024-02-08T15:05:00+00:00,2024-02-08T15:17:00+00:00,12.0,Air Canada,AC8942
scheduled,YUL,C82,EWR,2024-02-08T20:00:00+00:00,,8.0,Air Canada,AC8946
landed,YUL,,EWR,2024-02-08T20:00:00+00:00,2024-02-08T20:08:00+00:00,8.0,Air Canada,AC946
scheduled,YUL,,EWR,2024-02-08T20:00:00+00:00,,21.0,Jazz,QK946
landed,YUL,C80,EWR,2024-02-08T11:08:00+00:00,2024-02-08T11:33:00+00:00,25.0,United Airlines,UA3451
landed,YUL,C80,EWR,2024-02-08T07:00:00+00:00,2024-02-08T07:12:00+00:00,13.0,United Airlines,UA3606
landed,YUL,C82,DTW,2024-03-13T13:05:00+00:00,2024-03-13T13:38:00+00:00,34.0,Air Canada,AC8581
landed,YUL,C86,DTW,2024-03-13T17:10:00+00:00,2024-03-13T17:19:00+00:00,10.0,Delta Air Lines,DL4906
landed,YUL,C87,DTW,2024-03-13T07:10:00+00:00,2024-03-13T07:29:00+00:00,19.0,Delta Air Lines,DL4933
landed,YUL,C84,DTW,2024-03-13T13:06:00+00:00,2024-03-13T13:04:00+00:00,15.0,Delta Air Lines,DL5139
landed,YUL,A63,DXB,2024-03-13T10:20:00+00:00,2024-03-13T10:26:00+00:00,7.0,Emirates,EK244
scheduled,YUL,C85,EWR,2024-03-13T08:15:00+00:00,,21.0,Air Canada,AC8938
scheduled,YUL,C88,EWR,2024-03-13T15:05:00+00:00,,21.0,Air Canada,AC8942
active,YUL,C74,EWR,2024-03-13T20:00:00+00:00,,1.0,Air Canada,AC8946
landed,YUL,,EWR,2024-03-13T08:15:00+00:00,2024-03-13T08:32:00+00:00,18.0,Air Canada,AC938
landed,YUL,,EWR,2024-03-13T15:05:00+00:00,2024-03-13T15:20:00+00:00,16.0,Air Canada,AC942
landed,YUL,,EWR,2024-03-13T20:01:00+00:00,2024-03-13T20:01:00+00:00,1.0,Air Canada,AC946
scheduled,YUL,,EWR,2024-03-13T08:15:00+00:00,,21.0,Jazz,QK938
scheduled,YUL,,EWR,2024-03-13T15:05:00+00:00,,21.0,Jazz,QK942
scheduled,YUL,,EWR,2024-03-13T20:01:00+00:00,,20.0,Jazz,QK946
landed,YUL,C82,EWR,2024-03-13T07:00:00+00:00,2024-03-13T07:14:00+00:00,15.0,United Airlines,UA3456
landed,YUL,C80,EWR,2024-03-13T11:08:00+00:00,2024-03-13T11:09:00+00:00,2.0,United Airlines,UA3680
landed,YUL,A60,FCO,2024-03-13T20:45:00+00:00,2024-03-13T21:04:00+00:00,20.0,Air Canada,AC892
scheduled,YUL,A51,FDF,2024-03-13T09:00:00+00:00,2024-03-13T10:37:00+00:00,98.0,Air Canada,AC954
landed,YUL,C73,FLL,2024-03-13T08:55:00+00:00,2024-03-13T09:06:00+00:00,11.0,Air Canada,AC1002
landed,YUL,C73,FLL,2024-03-13T14:10:00+00:00,2024-03-13T15:00:00+00:00,50.0,Air Canada,AC1004
landed,YUL,C82,FLL,2024-03-13T15:50:00+00:00,2024-03-13T17:10:00+00:00,80.0,Flair Airlines,F81100
landed,YUL,C75,FLL,2024-03-13T07:40:00+00:00,2024-03-13T07:59:00+00:00,19.0,Air Canada Rouge,RV1600
landed,YUL,C75,FLL,2024-03-13T16:20:00+00:00,2024-03-13T16:34:00+00:00,14.0,Air Canada Rouge,RV1606
landed,YUL,C79,FLL,2024-03-13T06:30:00+00:00,2024-03-13T06:49:00+00:00,19.0,Air Transat,TS2844
landed,YUL,C83,FLL,2024-03-13T16:25:00+00:00,2024-03-13T16:43:00+00:00,19.0,Air Transat,TS2846
landed,YUL,A65,FRA,2024-03-13T19:05:00+00:00,2024-03-13T19:10:00+00:00,5.0,Air Canada,AC844
active,YUL,,FRG,2024-03-13T13:00:00+00:00,2024-03-13T12:57:00+00:00,,VistaJet,
landed,YUL,A50,GRU,2024-03-13T21:25:00+00:00,2024-03-13T21:37:00+00:00,12.0,Air Canada,AC96
landed,YUL,A56,GUA,2024-03-13T21:45:00+00:00,2024-03-13T22:29:00+00:00,45.0,Flair Airlines,F87201
cancelled,YUL,,HPN,2024-03-13T14:00:00+00:00,,6.0,empty,
scheduled,YUL,,HPN,2024-03-13T14:00:00+00:00,,,NetJets Aviation,1I
landed,YUL,C80,IAD,2024-03-13T13:05:00+00:00,2024-03-13T13:12:00+00:00,7.0,Air Canada,AC8723
landed,YUL,C82,IAD,2024-03-13T09:15:00+00:00,2024-03-13T09:39:00+00:00,25.0,United Airlines,UA3413
landed,YUL,C80,IAD,2024-03-13T18:30:00+00:00,2024-03-13T18:41:00+00:00,12.0,United Airlines,UA3574
landed,YUL,C75,IAH,2024-03-13T09:50:00+00:00,2024-03-13T09:51:00+00:00,1.0,Air Canada,AC581
landed,YUL,A65,IST,2024-03-13T21:30:00+00:00,2024-03-13T21:52:00+00:00,23.0,Turkish Airlines,TK36
active,YUL,C73,JFK,2024-03-13T18:55:00+00:00,,4.0,Air Canada,AC8898
landed,YUL,,JFK,2024-03-13T18:55:00+00:00,2024-03-13T18:59:00+00:00,4.0,Air Canada,AC898
landed,YUL,C84,JFK,2024-03-13T18:35:00+00:00,2024-03-13T18:47:00+00:00,13.0,Delta Air Lines,DL5151
landed,YUL,C86,JFK,2024-03-13T12:05:00+00:00,2024-03-13T12:05:00+00:00,,Delta Air Lines,DL5425
landed,YUL,A64,DOH,2024-03-03T20:50:00+00:00,2024-03-03T21:26:00+00:00,36.0,Qatar Airways,QR764
landed,YUL,C87,DTW,2024-03-03T13:05:00+00:00,2024-03-03T13:28:00+00:00,24.0,Air Canada,AC8581
landed,YUL,C88,DTW,2024-03-03T06:00:00+00:00,2024-03-03T06:16:00+00:00,17.0,Delta Air Lines,DL4869
landed,YUL,C86,DTW,2024-03-03T13:05:00+00:00,2024-03-03T13:12:00+00:00,8.0,Delta Air Lines,DL4870
landed,YUL,C86,DTW,2024-03-03T17:50:00+00:00,2024-03-03T18:06:00+00:00,16.0,Delta Air Lines,DL5367
landed,YUL,A63,DXB,2024-03-03T09:20:00+00:00,2024-03-03T09:32:00+00:00,12.0,Emirates,EK244
active,YUL,,EWR,2024-03-03T20:00:00+00:00,,22.0,empty,
landed,YUL,C87,EWR,2024-03-03T08:15:00+00:00,2024-03-03T08:41:00+00:00,26.0,Air Canada,AC8938
landed,YUL,C88,EWR,2024-03-03T13:05:00+00:00,2024-03-03T13:18:00+00:00,13.0,Air Canada,AC8940
landed,YUL,C73,EWR,2024-03-03T15:05:00+00:00,2024-03-03T15:20:00+00:00,15.0,Air Canada,AC8942
scheduled,YUL,C83,EWR,2024-03-03T20:00:00+00:00,,21.0,Air Canada,AC8946
active,YUL,,EWR,2024-03-03T20:00:00+00:00,2024-03-03T20:24:00+00:00,24.0,Air Canada,AC946
scheduled,YUL,,EWR,2024-03-03T20:00:00+00:00,,21.0,Jazz,QK946
landed,YUL,C82,EWR,2024-03-03T07:00:00+00:00,2024-03-03T07:11:00+00:00,11.0,United Airlines,UA3456
landed,YUL,C80,EWR,2024-03-03T11:08:00+00:00,2024-03-03T11:20:00+00:00,13.0,United Airlines,UA3680
landed,YUL,A59,FCO,2024-03-03T20:45:00+00:00,2024-03-03T21:32:00+00:00,48.0,Air Canada,AC892
landed,YUL,C56,FLL,2024-03-03T08:55:00+00:00,2024-03-03T09:50:00+00:00,55.0,Air Canada,AC1002
diverted,YUL,C56,FLL,2024-03-03T13:10:00+00:00,2024-03-03T14:21:00+00:00,71.0,Air Canada,AC1004
landed,YUL,C85,FLL,2024-03-03T15:50:00+00:00,2024-03-03T16:25:00+00:00,36.0,Flair Airlines,F81100
scheduled,YUL,,FLL,2024-03-03T18:00:00+00:00,,,Starlink Aviation,Q4557
landed,YUL,C75,FLL,2024-03-03T07:40:00+00:00,2024-03-03T08:09:00+00:00,29.0,Air Canada Rouge,RV1600
landed,YUL,C75,FLL,2024-03-03T16:20:00+00:00,2024-03-03T16:50:00+00:00,30.0,Air Canada Rouge,RV1606
landed,YUL,C56,FLL,2024-03-03T06:30:00+00:00,2024-03-03T06:33:00+00:00,4.0,Air Transat,TS844
landed,YUL,C82,FLL,2024-03-03T16:25:00+00:00,2024-03-03T16:47:00+00:00,22.0,Air Transat,TS846
landed,YUL,A66,FRA,2024-03-03T18:05:00+00:00,2024-03-03T18:46:00+00:00,42.0,Air Canada,AC844
active,YUL,,FRG,2024-03-03T10:52:00+00:00,2024-03-03T10:52:00+00:00,,NetJets Aviation,1I810
active,YUL,,FXE,2024-03-03T10:00:00+00:00,,6.0,empty,
landed,YUL,A50,GRU,2024-03-03T21:25:00+00:00,2024-03-03T21:52:00+00:00,27.0,Air Canada,AC96
scheduled,YUL,A52,GVA,2024-03-03T20:25:00+00:00,2024-03-03T22:09:00+00:00,105.0,Air Canada,AC884
active,YUL,A60,HOG,2024-03-03T07:10:00+00:00,2024-03-03T07:35:00+00:00,25.0,Air Transat,TS2356
landed,YUL,A63,HOG,2024-03-03T16:45:00+00:00,2024-03-03T17:20:00+00:00,36.0,Sunwing,WG644
landed,YUL,,HPN,2024-03-03T18:05:00+00:00,2024-03-03T17:40:00+00:00,,Flexjet,LXJ454
landed,YUL,C83,IAD,2024-03-03T13:05:00+00:00,2024-03-03T13:21:00+00:00,17.0,Air Canada,AC8723
landed,YUL,C82,IAD,2024-03-03T09:15:00+00:00,2024-03-03T09:34:00+00:00,19.0,United Airlines,UA3413
landed,YUL,C80,IAD,2024-03-03T18:30:00+00:00,2024-03-03T18:52:00+00:00,23.0,United Airlines,UA3574
cancelled,YUL,C77,IAH,2024-03-03T09:50:00+00:00,,10.0,Air Canada,AC581
scheduled,YUL,,ILM,2024-03-03T08:00:00+00:00,,,Starlink Aviation,Q4822
landed,YUL,A63,IST,2024-03-03T20:30:00+00:00,2024-03-03T20:43:00+00:00,13.0,Turkish Airlines,TK36
